PRODUCT_ID,PRODUCT_DESC,Department_Cat,Section_Cat,Family_Cat,SubFamily_Cat,PROMO_MECHANIC,SUPPLIER_ID
1155014,PRODUCT_1155014,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,38
934606,PRODUCT_934606,Department A,SECTION A,FAMILY A,SUBFAMILY B,null,357
1503676,PRODUCT_1503676,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,166
1274290,PRODUCT_1274290,Department A,SECTION A,FAMILY A,SUBFAMILY A,null,4419
1504709,PRODUCT_1504709,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,39
1503667,PRODUCT_1503667,Department A,SECTION B,FAMILY D,SUBFAMILY G,Multiple,646
1403618,PRODUCT_1403618,Department A,SECTION B,FAMILY D,SUBFAMILY G,Multiple,646
1313847,PRODUCT_1313847,Department A,SECTION B,FAMILY C,SUBFAMILY F,Straight Discount,52
1208879,PRODUCT_1208879,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,38
1242687,PRODUCT_1242687,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,52
1082906,PRODUCT_1082906,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,64
1274289,PRODUCT_1274289,Department A,SECTION A,FAMILY A,SUBFAMILY A,null,4419
691542,PRODUCT_691542,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,646
1222252,PRODUCT_1222252,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,646
1198936,PRODUCT_1198936,Department A,SECTION B,FAMILY C,SUBFAMILY E,Straight Discount,52
1194285,PRODUCT_1194285,Department A,SECTION B,FAMILY D,SUBFAMILY H,Multiple,38
1261945,PRODUCT_1261945,Department A,SECTION A,FAMILY A,SUBFAMILY A,Multiple,166
1281224,PRODUCT_1281224,Department A,SECTION B,FAMILY C,SUBFAMILY E,Multiple,34
1118156,PRODUCT_1118156,Department A,SECTION B,FAMILY C,SUBFAMILY F,Multiple,52
1111067,PRODUCT_1111067,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,348
908989,PRODUCT_908989,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,881
908988,PRODUCT_908988,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,881
908986,PRODUCT_908986,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,881
908985,PRODUCT_908985,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,881
908984,PRODUCT_908984,Department B,SECTION D,FAMILY H,SUBFAMILY P,Straight Discount,881
1355603,PRODUCT_1355603,Department B,SECTION D,FAMILY H,SUBFAMILY O,BTGT,666
